component	msgctxt	msgid	draft_msgstr	hard_terms
postgres		source and target data types are not physically compatible	[REVIEW: untranslated] source and target data types are not physically compatible	
postgres		composite data types are not binary-compatible	[REVIEW: untranslated] composite data types are not binary-compatible	
postgres		array data types are not binary-compatible	[REVIEW: untranslated] array data types are not binary-compatible	
postgres		range data types are not binary-compatible	[REVIEW: untranslated] range data types are not binary-compatible	
postgres		enum data types are not binary-compatible	[REVIEW: untranslated] enum data types are not binary-compatible	
postgres		domain data types must not be marked binary-compatible	[REVIEW: untranslated] domain data types must not be marked binary-compatible	
postgres		source data type and target data type are the same	[REVIEW: untranslated] source data type and target data type are the same	
postgres		transform function must not be volatile	[REVIEW: untranslated] transform function must not be volatile	
postgres		transform function must be a normal function	[REVIEW: untranslated] transform function must be a normal function	
postgres		transform function must not return a set	[REVIEW: untranslated] transform function must not return a set	
postgres		transform function must take one argument	[REVIEW: untranslated] transform function must take one argument	
postgres		first argument of transform function must be type %s	[REVIEW: untranslated] first argument of transform function must be type %s	
postgres		data type %s is a pseudo-type	[REVIEW: untranslated] data type %s is a pseudo-type	
postgres		data type %s is a domain	[REVIEW: untranslated] data type %s is a domain	
postgres		return data type of FROM SQL function must be %s	[REVIEW: untranslated] return data type of FROM SQL function must be %s	
postgres		return data type of TO SQL function must be the transform data type	[REVIEW: untranslated] return data type of TO SQL function must be the transform data type	
postgres		"function %s already exists in schema ""%s"""	"[REVIEW: schema] function %s पहिले नै अवस्थित छ in schema ""%s"""	schema
postgres		must specify at least one column	[REVIEW: untranslated] must specify at least one column	
postgres		"cannot create index on relation ""%s"""	"[REVIEW: relation] गर्न सकिँदैन create index on relation ""%s"""	relation
postgres		cannot specify default tablespace for partitioned relations	[REVIEW: tablespace, relation] गर्न सकिँदैन specify default tablespace for partitioned relations	tablespace, relation
postgres		only shared relations can be placed in pg_global tablespace	[REVIEW: tablespace, relation; untranslated] only shared relations can be placed in pg_global tablespace	tablespace, relation
postgres		"substituting access method ""gist"" for obsolete method ""rtree"""	"[REVIEW: access method; untranslated] substituting access method ""gist"" for obsolete method ""rtree"""	access method
postgres		"access method ""%s"" does not support unique indexes"	"[REVIEW: access method; untranslated] access method ""%s"" does not support unique indexes"	access method
postgres		"access method ""%s"" does not support included columns"	"[REVIEW: access method; untranslated] access method ""%s"" does not support included columns"	access method
postgres		"access method ""%s"" does not support multicolumn indexes"	"[REVIEW: access method; untranslated] access method ""%s"" does not support multicolumn indexes"	access method
postgres		"access method ""%s"" does not support exclusion constraints"	"[REVIEW: access method, constraint; untranslated] access method ""%s"" does not support exclusion constraints"	access method, constraint
postgres		"access method ""%s"" does not support WITHOUT OVERLAPS constraints"	"[REVIEW: access method, constraint; untranslated] access method ""%s"" does not support WITHOUT OVERLAPS constraints"	access method, constraint
postgres		unsupported %s constraint with partition key definition	[REVIEW: constraint; untranslated] unsupported %s constraint with partition key definition	constraint
postgres		%s constraints cannot be used when partition keys include expressions.	[REVIEW: constraint] %s constraints गर्न सकिँदैन be used when partition keys include expressions.	constraint
postgres		"There is no suitable operator in operator family ""%s"" for access method ""%s""."	"[REVIEW: operator family, access method; untranslated] There is no suitable operator in operator family ""%s"" for access method ""%s""."	operator family, access method
postgres		"cannot match partition key to index on column ""%s"" using non-equal operator ""%s"""	"[REVIEW: sentence] गर्न सकिँदैन match partition key to index on column ""%s"" using non-equal operator ""%s"""	
postgres		unique constraint on partitioned table must include all partitioning columns	[REVIEW: constraint; untranslated] unique constraint on partitioned table must include all partitioning columns	constraint
postgres		"%s constraint on table ""%s"" lacks column ""%s"" which is part of the partition key."	"[REVIEW: constraint; untranslated] %s constraint on table ""%s"" lacks column ""%s"" which is part of the partition key."	constraint
postgres		index creation on system columns is not supported	[REVIEW: untranslated] index creation on system columns is not supported	
postgres		primary keys on virtual generated columns are not supported	[REVIEW: primary; untranslated] primary keys on virtual generated columns are not supported	primary
postgres		unique constraints on virtual generated columns are not supported	[REVIEW: constraint; untranslated] unique constraints on virtual generated columns are not supported	constraint
postgres		indexes on virtual generated columns are not supported	[REVIEW: untranslated] indexes on virtual generated columns are not supported	
postgres		"Table ""%s"" contains partitions that are foreign tables."	"[REVIEW: untranslated] Table ""%s"" contains partitions that are foreign tables."	
postgres		functions in index predicate must be marked IMMUTABLE	[REVIEW: untranslated] functions in index predicate must be marked IMMUTABLE	
postgres		expressions are not supported in included columns	[REVIEW: untranslated] expressions are not supported in included columns	
postgres		functions in index expression must be marked IMMUTABLE	[REVIEW: untranslated] functions in index expression must be marked IMMUTABLE	
postgres		including column does not support a collation	[REVIEW: collation; untranslated] including column does not support a collation	collation
postgres		including column does not support an operator class	[REVIEW: operator class; untranslated] including column does not support an operator class	operator class
postgres		including column does not support ASC/DESC options	[REVIEW: untranslated] including column does not support ASC/DESC options	
postgres		including column does not support NULLS FIRST/LAST options	[REVIEW: untranslated] including column does not support NULLS FIRST/LAST options	
postgres		could not determine which collation to use for index expression	[REVIEW: collation] गर्न सकिएन determine which collation to use for index expression	collation
postgres		collations are not supported by type %s	[REVIEW: collation; untranslated] collations are not supported by type %s	collation
postgres		operator %s is not commutative	[REVIEW: untranslated] operator %s is not commutative	
postgres		Only commutative operators can be used in exclusion constraints.	[REVIEW: constraint; untranslated] Only commutative operators can be used in exclusion constraints.	constraint
postgres		"operator %s is not a member of operator family ""%s"""	"[REVIEW: operator family; untranslated] operator %s is not a member of operator family ""%s"""	operator family
postgres		The exclusion operator must be related to the index operator class for the constraint.	[REVIEW: operator class, constraint; untranslated] The exclusion operator must be related to the index operator class for the constraint.	operator class, constraint
postgres		"access method ""%s"" does not support ASC/DESC options"	"[REVIEW: access method; untranslated] access method ""%s"" does not support ASC/DESC options"	access method
postgres		"access method ""%s"" does not support NULLS FIRST/LAST options"	"[REVIEW: access method; untranslated] access method ""%s"" does not support NULLS FIRST/LAST options"	access method
postgres		"data type %s has no default operator class for access method ""%s"""	"[REVIEW: operator class, access method; untranslated] data type %s has no default operator class for access method ""%s"""	operator class, access method
postgres		You must specify an operator class for the index or define a default operator class for the data type.	[REVIEW: operator class; untranslated] You must specify an operator class for the index or define a default operator class for the data type.	operator class
postgres		"operator class ""%s"" does not exist for access method ""%s"""	"[REVIEW: operator class, access method] operator class ""%s"" अवस्थित छैन for access method ""%s"""	operator class, access method
postgres		"operator class ""%s"" does not accept data type %s"	"[REVIEW: operator class; untranslated] operator class ""%s"" does not accept data type %s"	operator class
postgres		there are multiple default operator classes for data type %s	[REVIEW: operator class; untranslated] there are multiple default operator classes for data type %s	operator class
postgres		"Could not translate compare type %d for operator family ""%s"", input type %s, access method ""%s""."	"[REVIEW: operator family, access method; sentence] गर्न सकिएन translate compare type %d for operator family ""%s"", input type %s, access method ""%s""."	operator family, access method
postgres		"unrecognized REINDEX option ""%s"""	"[REVIEW: untranslated] unrecognized REINDEX option ""%s"""	
postgres		"table ""%s"" has no indexes that can be reindexed concurrently"	"[REVIEW: untranslated] table ""%s"" has no indexes that can be reindexed concurrently"	
postgres		"table ""%s"" has no indexes to reindex"	"[REVIEW: untranslated] table ""%s"" has no indexes to reindex"	
postgres		cannot reindex system catalogs concurrently	[REVIEW: catalog] गर्न सकिँदैन reindex system catalogs concurrently	catalog
postgres		can only reindex the currently open database	[REVIEW: untranslated] can only reindex the currently open database	
postgres		cannot reindex system catalogs concurrently, skipping all	[REVIEW: catalog] गर्न सकिँदैन reindex system catalogs concurrently, skipping all	catalog
postgres		cannot move system relations, skipping all	[REVIEW: relation] गर्न सकिँदैन move system relations, skipping all	relation
postgres		"while reindexing partitioned table ""%s.%s"""	"[REVIEW: untranslated] while reindexing partitioned table ""%s.%s"""	
postgres		"while reindexing partitioned index ""%s.%s"""	"[REVIEW: untranslated] while reindexing partitioned index ""%s.%s"""	
postgres		"table ""%s.%s"" was reindexed"	"[REVIEW: untranslated] table ""%s.%s"" was reindexed"	
postgres		Use DROP INDEX or REINDEX INDEX.	[REVIEW: untranslated] Use DROP INDEX or REINDEX INDEX.	
postgres		"cannot reindex exclusion constraint index ""%s.%s"" concurrently, skipping"	"[REVIEW: constraint] गर्न सकिँदैन reindex exclusion constraint index ""%s.%s"" concurrently, skipping"	constraint
postgres		cannot reindex this type of relation concurrently	[REVIEW: relation] गर्न सकिँदैन reindex this type of relation concurrently	relation
postgres		"cannot move non-shared relation to tablespace ""%s"""	"[REVIEW: tablespace, relation] गर्न सकिँदैन move non-shared relation to tablespace ""%s"""	tablespace, relation
postgres		"index ""%s.%s"" was reindexed"	"[REVIEW: untranslated] index ""%s.%s"" was reindexed"	
postgres		"cannot lock relation ""%s"""	"[REVIEW: relation, lock] गर्न सकिँदैन lock relation ""%s"""	relation, lock
postgres		CONCURRENTLY cannot be used when the materialized view is not populated	[REVIEW: sentence] CONCURRENTLY गर्न सकिँदैन be used when the materialized view is not populated	
postgres		Create a unique index with no WHERE clause on one or more columns of the materialized view.	[REVIEW: untranslated] Create a unique index with no WHERE clause on one or more columns of the materialized view.	
postgres		"new data for materialized view ""%s"" contains duplicate rows without any null columns"	"[REVIEW: untranslated] new data for materialized view ""%s"" contains duplicate rows without any null columns"	
postgres		"operator family ""%s"" does not exist for access method ""%s"""	"[REVIEW: operator family, access method] operator family ""%s"" अवस्थित छैन for access method ""%s"""	operator family, access method
postgres		"operator family ""%s"" for access method ""%s"" already exists"	"[REVIEW: operator family, access method] operator family ""%s"" for access method ""%s"" पहिले नै अवस्थित छ"	operator family, access method
postgres		must be superuser to create an operator class	[REVIEW: operator class] must be superप्रयोगकर्ता to create an operator class	operator class
postgres		storage type specified more than once	[REVIEW: untranslated] storage type specified more than once	
postgres		"storage type cannot be different from data type for access method ""%s"""	"[REVIEW: access method; sentence] storage type गर्न सकिँदैन be different from data type for access method ""%s"""	access method
postgres		"operator class ""%s"" for access method ""%s"" already exists"	"[REVIEW: operator class, access method] operator class ""%s"" for access method ""%s"" पहिले नै अवस्थित छ"	operator class, access method
postgres		"could not make operator class ""%s"" be default for type %s"	"[REVIEW: operator class] गर्न सकिएन make operator class ""%s"" be default for type %s"	operator class
postgres		"Operator class ""%s"" already is the default."	"[REVIEW: operator class; untranslated] Operator class ""%s"" already is the default."	operator class
postgres		must be superuser to create an operator family	[REVIEW: operator family] must be superप्रयोगकर्ता to create an operator family	operator family
postgres		must be superuser to alter an operator family	[REVIEW: operator family] must be superप्रयोगकर्ता to alter an operator family	operator family
postgres		operator argument types must be specified in ALTER OPERATOR FAMILY	[REVIEW: operator family; untranslated] operator argument types must be specified in ALTER OPERATOR FAMILY	operator family
postgres		STORAGE cannot be specified in ALTER OPERATOR FAMILY	[REVIEW: operator family] STORAGE गर्न सकिँदैन be specified in ALTER OPERATOR FAMILY	operator family
postgres		one or two argument types must be specified	[REVIEW: untranslated] one or two argument types must be specified	
postgres		index operators must be binary	[REVIEW: untranslated] index operators must be binary	
postgres		"access method ""%s"" does not support ordering operators"	"[REVIEW: access method; untranslated] access method ""%s"" does not support ordering operators"	access method
postgres		index search operators must return boolean	[REVIEW: untranslated] index search operators must return boolean	
postgres		associated data types for operator class options parsing functions must match opclass input type	[REVIEW: operator class; untranslated] associated data types for operator class options parsing functions must match opclass input type	operator class
postgres		left and right associated data types for operator class options parsing functions must match	[REVIEW: operator class; untranslated] left and right associated data types for operator class options parsing functions must match	operator class
postgres		invalid operator class options parsing function	[REVIEW: operator class] अमान्य operator class options parsing function	operator class
postgres		Valid signature of operator class options parsing function is %s.	[REVIEW: operator class; untranslated] Valid signature of operator class options parsing function is %s.	operator class
postgres		ordering comparison functions must have two arguments	[REVIEW: untranslated] ordering comparison functions must have two arguments	
postgres		ordering comparison functions must return integer	[REVIEW: untranslated] ordering comparison functions must return integer	
postgres		"ordering sort support functions must accept type ""internal"""	"[REVIEW: untranslated] ordering sort support functions must accept type ""internal"""	
postgres		ordering sort support functions must return void	[REVIEW: OID; untranslated] ordering sort support functions must return void	OID
postgres		ordering in_range functions must have five arguments	[REVIEW: untranslated] ordering in_range functions must have five arguments	
postgres		ordering in_range functions must return boolean	[REVIEW: untranslated] ordering in_range functions must return boolean	
postgres		ordering equal image functions must have one argument	[REVIEW: untranslated] ordering equal image functions must have one argument	
postgres		ordering equal image functions must return boolean	[REVIEW: untranslated] ordering equal image functions must return boolean	
postgres		ordering equal image functions must not be cross-type	[REVIEW: untranslated] ordering equal image functions must not be cross-type	
postgres		"btree skip support functions must accept type ""internal"""	"[REVIEW: untranslated] btree skip support functions must accept type ""internal"""	
postgres		btree skip support functions must return void	[REVIEW: OID; untranslated] btree skip support functions must return void	OID
postgres		btree skip support functions must not be cross-type	[REVIEW: untranslated] btree skip support functions must not be cross-type	
postgres		hash function 1 must have one argument	[REVIEW: untranslated] hash function 1 must have one argument	
postgres		hash function 1 must return integer	[REVIEW: untranslated] hash function 1 must return integer	
postgres		hash function 2 must have two arguments	[REVIEW: untranslated] hash function 2 must have two arguments	
postgres		hash function 2 must return bigint	[REVIEW: untranslated] hash function 2 must return bigint	
postgres		associated data types must be specified for index support function	[REVIEW: untranslated] associated data types must be specified for index support function	
postgres		function number %d for (%s,%s) appears more than once	[REVIEW: untranslated] function number %d for (%s,%s) appears more than once	
postgres		operator number %d for (%s,%s) appears more than once	[REVIEW: untranslated] operator number %d for (%s,%s) appears more than once	
postgres		"operator %d(%s,%s) already exists in operator family ""%s"""	"[REVIEW: operator family] operator %d(%s,%s) पहिले नै अवस्थित छ in operator family ""%s"""	operator family
postgres		"function %d(%s,%s) already exists in operator family ""%s"""	"[REVIEW: operator family] function %d(%s,%s) पहिले नै अवस्थित छ in operator family ""%s"""	operator family
postgres		"operator %d(%s,%s) does not exist in operator family ""%s"""	"[REVIEW: operator family] operator %d(%s,%s) अवस्थित छैन in operator family ""%s"""	operator family
postgres		"function %d(%s,%s) does not exist in operator family ""%s"""	"[REVIEW: operator family] function %d(%s,%s) अवस्थित छैन in operator family ""%s"""	operator family
postgres		"operator class ""%s"" for access method ""%s"" already exists in schema ""%s"""	"[REVIEW: operator class, access method, schema] operator class ""%s"" for access method ""%s"" पहिले नै अवस्थित छ in schema ""%s"""	operator class, access method, schema
postgres		"operator family ""%s"" for access method ""%s"" already exists in schema ""%s"""	"[REVIEW: operator family, access method, schema] operator family ""%s"" for access method ""%s"" पहिले नै अवस्थित छ in schema ""%s"""	operator family, access method, schema
postgres		SETOF type not allowed for operator argument	[REVIEW: untranslated] SETOF type not allowed for operator argument	
postgres		"operator attribute ""%s"" not recognized"	"[REVIEW: untranslated] operator attribute ""%s"" not recognized"	
postgres		operator function must be specified	[REVIEW: untranslated] operator function must be specified	
postgres		operator argument types must be specified	[REVIEW: untranslated] operator argument types must be specified	
postgres		operator right argument type must be specified	[REVIEW: untranslated] operator right argument type must be specified	
postgres		Postfix operators are not supported.	[REVIEW: untranslated] Postfix operators are not supported.	
postgres		restriction estimator function %s must return type %s	[REVIEW: untranslated] restriction estimator function %s must return type %s	
postgres		join estimator function %s has multiple matches	[REVIEW: untranslated] join estimator function %s has multiple matches	
postgres		join estimator function %s must return type %s	[REVIEW: untranslated] join estimator function %s must return type %s	
postgres		operator is only a shell: %s	[REVIEW: untranslated] operator is only a shell: %s	
postgres		"operator attribute ""%s"" cannot be changed if it has already been set"	"[REVIEW: sentence] operator attribute ""%s"" गर्न सकिँदैन be changed if it has already been set"	
postgres		"permission denied: ""%s"" is a system catalog"	"[REVIEW: permission, catalog] अनुमति अस्वीकार गरियो: ""%s"" is a system catalog"	permission, catalog
postgres		ignoring specified roles other than PUBLIC	[REVIEW: role; untranslated] ignoring specified roles other than PUBLIC	role
postgres		All roles are members of the PUBLIC role.	[REVIEW: role; untranslated] All roles are members of the PUBLIC role.	role
postgres		only WITH CHECK expression allowed for INSERT	[REVIEW: untranslated] only WITH CHECK expression allowed for INSERT	
postgres		"policy ""%s"" for table ""%s"" already exists"	"[REVIEW: policy] policy ""%s"" for table ""%s"" पहिले नै अवस्थित छ"	policy
postgres		"policy ""%s"" for table ""%s"" does not exist"	"[REVIEW: policy] policy ""%s"" for table ""%s"" अवस्थित छैन"	policy
postgres		only USING expression allowed for SELECT, DELETE	[REVIEW: untranslated] only USING expression allowed for SELECT, DELETE	
postgres		invalid cursor name: must not be empty	[REVIEW: cursor] अमान्य cursor नाम: must not be empty	cursor
postgres		cannot create a cursor WITH HOLD within security-restricted operation	[REVIEW: cursor] गर्न सकिँदैन create a cursor WITH HOLD within security-restricted operation	cursor
postgres		"cursor ""%s"" does not exist"	"[REVIEW: cursor] cursor ""%s"" अवस्थित छैन"	cursor
postgres		invalid statement name: must not be empty	[REVIEW: statement] अमान्य statement नाम: must not be empty	statement
postgres		prepared statement is not a SELECT	[REVIEW: statement; untranslated] prepared statement is not a SELECT	statement
postgres		"wrong number of parameters for prepared statement ""%s"""	"[REVIEW: statement; untranslated] wrong number of parameters for prepared statement ""%s"""	statement
postgres		Expected %d parameters but got %d.	[REVIEW: untranslated] Expected %d parameters but got %d.	
postgres		"prepared statement ""%s"" already exists"	"[REVIEW: statement] prepared statement ""%s"" पहिले नै अवस्थित छ"	statement
postgres		"prepared statement ""%s"" does not exist"	"[REVIEW: statement] prepared statement ""%s"" अवस्थित छैन"	statement
postgres		"unrecognized value for publication option ""%s"": ""%s"""	"[REVIEW: publication; untranslated] unrecognized value for publication option ""%s"": ""%s"""	publication
postgres		"unrecognized publication parameter: ""%s"""	"[REVIEW: publication; untranslated] unrecognized publication parameter: ""%s"""	publication
postgres		no schema has been selected for CURRENT_SCHEMA	[REVIEW: schema; untranslated] no schema has been selected for CURRENT_SCHEMA	schema
postgres		System columns are not allowed.	[REVIEW: untranslated] System columns are not allowed.	
postgres		Only columns, constants, built-in operators, built-in data types, built-in collations, and immutable built-in functions are allowed.	[REVIEW: collation; untranslated] Only columns, constants, built-in operators, built-in data types, built-in collations, and immutable built-in functions are allowed.	collation
postgres		User-defined collations are not allowed.	[REVIEW: collation] प्रयोगकर्ता-defined collations are not allowed.	collation
postgres		invalid publication WHERE expression	[REVIEW: publication] अमान्य publication WHERE expression	publication
postgres		"cannot use publication WHERE clause for relation ""%s"""	"[REVIEW: publication, relation] गर्न सकिँदैन use publication WHERE clause for relation ""%s"""	publication, relation
postgres		WHERE clause cannot be used for a partitioned table when %s is false.	[REVIEW: sentence] WHERE clause गर्न सकिँदैन be used for a partitioned table when %s is false.	
postgres		"cannot use column list for relation ""%s.%s"" in publication ""%s"""	"[REVIEW: publication, relation] गर्न सकिँदैन use column list for relation ""%s.%s"" in publication ""%s"""	publication, relation
postgres		Column lists cannot be specified in publications containing FOR TABLES IN SCHEMA elements.	[REVIEW: publication, schema; sentence] Column lists गर्न सकिँदैन be specified in publications containing FOR TABLES IN SCHEMA elements.	publication, schema
postgres		Column lists cannot be specified for partitioned tables when %s is false.	[REVIEW: sentence] Column lists गर्न सकिँदैन be specified for partitioned tables when %s is false.	
postgres		must be superuser to create FOR ALL TABLES publication	[REVIEW: publication] must be superप्रयोगकर्ता to create FOR ALL TABLES publication	publication
postgres		must be superuser to create FOR TABLES IN SCHEMA publication	[REVIEW: publication, schema] must be superप्रयोगकर्ता to create FOR TABLES IN SCHEMA publication	publication, schema
postgres		"""wal_level"" is insufficient to publish logical changes"	"[REVIEW: WAL; untranslated] ""wal_level"" is insufficient to publish logical changes"	WAL
postgres		"Set ""wal_level"" to ""logical"" before creating subscriptions."	"[REVIEW: subscription, WAL; untranslated] Set ""wal_level"" to ""logical"" before creating subscriptions."	subscription, WAL
postgres		"cannot set parameter ""%s"" to false for publication ""%s"""	"[REVIEW: publication] गर्न सकिँदैन set parameter ""%s"" to false for publication ""%s"""	publication
postgres		"The publication contains a WHERE clause for partitioned table ""%s"", which is not allowed when ""%s"" is false."	"[REVIEW: publication; untranslated] The publication contains a WHERE clause for partitioned table ""%s"", which is not allowed when ""%s"" is false."	publication
postgres		"The publication contains a column list for partitioned table ""%s"", which is not allowed when ""%s"" is false."	"[REVIEW: publication; untranslated] The publication contains a column list for partitioned table ""%s"", which is not allowed when ""%s"" is false."	publication
postgres		"cannot add schema to publication ""%s"""	"[REVIEW: publication, schema] गर्न सकिँदैन add schema to publication ""%s"""	publication, schema
postgres		Schemas cannot be added if any tables that specify a column list are already part of the publication.	[REVIEW: publication, schema; sentence] Schemas गर्न सकिँदैन be added if any tables that specify a column list are already part of the publication.	publication, schema
postgres		must be superuser to add or set schemas	[REVIEW: schema] must be superप्रयोगकर्ता to add or set schemas	schema
postgres		"publication ""%s"" is defined as FOR ALL TABLES"	"[REVIEW: publication; untranslated] publication ""%s"" is defined as FOR ALL TABLES"	publication
postgres		Schemas cannot be added to or dropped from FOR ALL TABLES publications.	[REVIEW: publication, schema; sentence] Schemas गर्न सकिँदैन be added to or dropped from FOR ALL TABLES publications.	publication, schema
postgres		Tables cannot be added to or dropped from FOR ALL TABLES publications.	[REVIEW: publication; sentence] Tables गर्न सकिँदैन be added to or dropped from FOR ALL TABLES publications.	publication
postgres		"publication ""%s"" does not exist"	"[REVIEW: publication] publication ""%s"" अवस्थित छैन"	publication
postgres		"conflicting or redundant WHERE clauses for table ""%s"""	"[REVIEW: untranslated] conflicting or redundant WHERE clauses for table ""%s"""	
postgres		"conflicting or redundant column lists for table ""%s"""	"[REVIEW: untranslated] conflicting or redundant column lists for table ""%s"""	
postgres		column list must not be specified in ALTER PUBLICATION ... DROP	[REVIEW: publication; untranslated] column list must not be specified in ALTER PUBLICATION ... DROP	publication
postgres		"relation ""%s"" is not part of the publication"	"[REVIEW: publication, relation; untranslated] relation ""%s"" is not part of the publication"	publication, relation
postgres		cannot use a WHERE clause when removing a table from a publication	[REVIEW: publication] गर्न सकिँदैन use a WHERE clause when removing a table from a publication	publication
postgres		"tables from schema ""%s"" are not part of the publication"	"[REVIEW: publication, schema; untranslated] tables from schema ""%s"" are not part of the publication"	publication, schema
postgres		"permission denied to change owner of publication ""%s"""	"[REVIEW: publication, permission] अनुमति अस्वीकार गरियो to change owner of publication ""%s"""	publication, permission
postgres		The owner of a FOR ALL TABLES publication must be a superuser.	[REVIEW: publication] The owner of a FOR ALL TABLES publication must be a superप्रयोगकर्ता.	publication
postgres		The owner of a FOR TABLES IN SCHEMA publication must be a superuser.	[REVIEW: publication, schema; sentence] The owner of a FOR TABLES IN SCHEMA publication must be a superप्रयोगकर्ता.	publication, schema
postgres		publication with OID %u does not exist	[REVIEW: publication, OID] publication with OID %u अवस्थित छैन	publication, OID
postgres		"%s requires a ""none"" or ""stored"" value"	"[REVIEW: untranslated] %s requires a ""none"" or ""stored"" value"	
postgres		"unacceptable schema name ""%s"""	"[REVIEW: schema] unacceptable schema नाम ""%s"""	schema
postgres		"The prefix ""pg_"" is reserved for system schemas."	"[REVIEW: schema; untranslated] The prefix ""pg_"" is reserved for system schemas."	schema
postgres		"schema ""%s"" already exists, skipping"	"[REVIEW: schema] schema ""%s"" पहिले नै अवस्थित छ, skipping"	schema
postgres		no security label providers have been loaded	[REVIEW: untranslated] no security label providers have been loaded	
postgres		must specify provider when multiple security label providers have been loaded	[REVIEW: untranslated] must specify provider when multiple security label providers have been loaded	
postgres		"security label provider ""%s"" is not loaded"	"[REVIEW: untranslated] security label provider ""%s"" is not loaded"	
postgres		security labels are not supported for this type of object	[REVIEW: untranslated] security labels are not supported for this type of object	
postgres		"cannot set security label on relation ""%s"""	"[REVIEW: relation] गर्न सकिँदैन set security label on relation ""%s"""	relation
postgres		"nextval: reached maximum value of sequence ""%s"" (%<PRId64>)"	"[REVIEW: untranslated] nextval: reached maximum value of sequence ""%s"" (%<PRId64>)"	
postgres		"nextval: reached minimum value of sequence ""%s"" (%<PRId64>)"	"[REVIEW: untranslated] nextval: reached minimum value of sequence ""%s"" (%<PRId64>)"	
postgres		"currval of sequence ""%s"" is not yet defined in this session"	"[REVIEW: untranslated] currval of sequence ""%s"" is not yet defined in this session"	
postgres		lastval is not yet defined in this session	[REVIEW: untranslated] lastval is not yet defined in this session	
postgres		"setval: value %<PRId64> is out of bounds for sequence ""%s"" (%<PRId64>..%<PRId64>)"	"[REVIEW: untranslated] setval: value %<PRId64> is out of bounds for sequence ""%s"" (%<PRId64>..%<PRId64>)"	
postgres		identity column type must be smallint, integer, or bigint	[REVIEW: untranslated] identity column type must be smallint, integer, or bigint	
postgres		sequence type must be smallint, integer, or bigint	[REVIEW: untranslated] sequence type must be smallint, integer, or bigint	
postgres		INCREMENT must not be zero	[REVIEW: untranslated] INCREMENT must not be zero	
postgres		MAXVALUE (%<PRId64>) is out of range for sequence data type %s	[REVIEW: untranslated] MAXVALUE (%<PRId64>) is out of range for sequence data type %s	
postgres		MINVALUE (%<PRId64>) is out of range for sequence data type %s	[REVIEW: untranslated] MINVALUE (%<PRId64>) is out of range for sequence data type %s	
postgres		MINVALUE (%<PRId64>) must be less than MAXVALUE (%<PRId64>)	[REVIEW: untranslated] MINVALUE (%<PRId64>) must be less than MAXVALUE (%<PRId64>)	
postgres		CACHE (%<PRId64>) must be greater than zero	[REVIEW: untranslated] CACHE (%<PRId64>) must be greater than zero	
postgres		Specify OWNED BY table.column or OWNED BY NONE.	[REVIEW: untranslated] Specify OWNED BY table.column or OWNED BY NONE.	
postgres		"sequence cannot be owned by relation ""%s"""	"[REVIEW: relation] sequence गर्न सकिँदैन be owned by relation ""%s"""	relation
postgres		sequence must have same owner as table it is linked to	[REVIEW: untranslated] sequence must have same owner as table it is linked to	
postgres		sequence must be in same schema as table it is linked to	[REVIEW: schema; untranslated] sequence must be in same schema as table it is linked to	schema
postgres		"Sequence ""%s"" is linked to table ""%s""."	"[REVIEW: untranslated] Sequence ""%s"" is linked to table ""%s""."	
postgres		only a single relation is allowed in CREATE STATISTICS	[REVIEW: relation; untranslated] only a single relation is allowed in CREATE STATISTICS	relation
postgres		"cannot define statistics for relation ""%s"""	"[REVIEW: relation] गर्न सकिँदैन define statistics for relation ""%s"""	relation
postgres		statistics creation on system columns is not supported	[REVIEW: untranslated] statistics creation on system columns is not supported	
postgres		statistics creation on virtual generated columns is not supported	[REVIEW: untranslated] statistics creation on virtual generated columns is not supported	
postgres		"column ""%s"" cannot be used in statistics because its type %s has no default btree operator class"	"[REVIEW: operator class; sentence] column ""%s"" गर्न सकिँदैन be used in statistics because its type %s has no default btree operator class"	operator class
postgres		expression cannot be used in multivariate statistics because its type %s has no default btree operator class	[REVIEW: operator class; sentence] expression गर्न सकिँदैन be used in multivariate statistics because its type %s has no default btree operator class	operator class
postgres		when building statistics on a single expression, statistics kinds may not be specified	[REVIEW: untranslated] when building statistics on a single expression, statistics kinds may not be specified	
postgres		"unrecognized statistics kind ""%s"""	"[REVIEW: untranslated] unrecognized statistics kind ""%s"""	
postgres		extended statistics require at least 2 columns	[REVIEW: untranslated] extended statistics require at least 2 columns	
postgres		duplicate expression in statistics definition	[REVIEW: untranslated] duplicate expression in statistics definition	
postgres		statistics target %d is too low	[REVIEW: untranslated] statistics target %d is too low	
postgres		lowering statistics target to %d	[REVIEW: untranslated] lowering statistics target to %d	
postgres		"unrecognized origin value: ""%s"""	"[REVIEW: untranslated] unrecognized origin value: ""%s"""	
postgres		invalid WAL location (LSN): %s	[REVIEW: WAL, LSN] अमान्य WAL location (LSN): %s	WAL, LSN
postgres		"unrecognized subscription parameter: ""%s"""	"[REVIEW: subscription; untranslated] unrecognized subscription parameter: ""%s"""	subscription
postgres		%s and %s are mutually exclusive options	[REVIEW: untranslated] %s and %s are mutually exclusive options	
postgres		subscription with %s must also set %s	[REVIEW: subscription; untranslated] subscription with %s must also set %s	subscription
postgres		could not receive list of publications from the publisher: %s	[REVIEW: publication] गर्न सकिएन receive list of publications from the publisher: %s	publication
postgres		publication %s does not exist on the publisher	[REVIEW: publication] publication %s अवस्थित छैन on the publisher	publication
